Barangays,Lat,Lon
Babuyan,9.9856,118.9113
Bacungan,9.9093,118.7014
Bagong Bayan,9.7592,118.5116
Bagong Pag-asa,9.7433,118.7303
Bagong Sikat,9.7314,118.7426
Bagong Silang,9.7337,118.733
Bahile,9.9986,118.7863
Bancao-bancao,9.7369,118.7565
Barangay ng mga Mangingisda,9.6847,118.7526
Binduyan,10.015,119.0718
Buenavista,10.0673,118.8129
Cabayugan,10.1635,118.8766
Concepcion,9.998,118.999
Inagawan,9.5472,118.6466
Inagawan Sub-Colony,9.5501,118.5984
Irawan,9.801,118.6971
Iwahig,9.7447,118.6608
Kalipay,9.7385,118.7321
Kamuning,9.5276,118.6362
Langogan,10.0291,119.1234
Liwanag,9.7402,118.7293
Lucbuan,9.992,118.8748
Luzviminda,9.6682,118.7043
Mabuhay,9.7387,118.7301
Macarascas,10.0187,118.7955
Magkakaibigan,9.7396,118.7338
Maligaya,9.7413,118.732
Manalo,9.9628,118.8289
Mandaragat,9.7476,118.7378
Manggahan,9.7402,118.739
Maningning,9.7401,118.7413
Maoyon,10.0008,118.8961
Marufinas,10.1878,118.9806
Maruyogon,9.9768,118.8529
Masigla,9.7363,118.7319
Masikap,9.7387,118.7355
Masipag,9.7337,118.7357
Matahimik,9.7444,118.7393
Matiyaga,9.7413,118.7302
Maunlad,9.7325,118.7392
Milagrosa,9.7353,118.7476
Model,9.7404,118.7371
Montible,9.71,118.6358
Napsan,9.7179,118.4591
New Panggangan,10.273,118.9618
Pagkakaisa,9.7369,118.7306
Princesa,9.7365,118.7334
Salvacion,9.9604,118.7766
San Jose,9.7944,118.749
San Manuel,9.7793,118.7569
San Miguel,9.7443,118.7456
San Pedro,9.7554,118.7507
San Rafael,9.986,118.967
Santa Cruz,9.9386,118.7405
Santa Lourdes,9.8317,118.7222
Santa Lucia,9.7013,118.7159
Santa Monica,9.7917,118.7363
Seaside,9.7435,118.7333
Sicsican,9.7955,118.7131
Simpocan,9.8084,118.5522
Tagabinet,10.0901,118.8539
Tagburos,9.821,118.7442
Tagumpay,9.7415,118.7353
Tanabag,9.9966,118.9892
Tanglaw,9.7356,118.7431
Tiniguiban,9.774,118.7386
